ID,Membrshp Start Dt,Membrshp End Dt,Role,SPORT,years_org,
308373,8/1/2018,5/1/2020,Member,ADAN,1.750684932,
367679,10/1/2016,5/1/2019,Varsity,ADAN,2.580821918,
375268,1/1/2018,5/1/2020,Varsity,ADAN,2.331506849,
377354,12/1/2016,5/1/2020,Varsity,ADAN,3.416438356,
383291,9/1/2017,5/1/2020,Varsity,ADAN,2.665753425,
383622,9/1/2017,6/1/2021,Varsity,ADAN,3.750684932,
385729,9/1/2017,6/1/2021,Varsity,ADAN,3.750684932,
396351,8/1/2018,5/1/2020,Varsity,ADAN,1.750684932,
400357,8/1/2018,12/1/2020,Member,ADAN,2.336986301,
401847,8/1/2018,5/1/2019,Varsity,ADAN,0.7479452055,
405240,9/1/2019,12/1/2020,Member,ADAN,1.252054795,
405623,9/1/2019,12/1/2019,Member,ADAN,0.2493150685,
406358,1/9/2024,5/1/2024,Varsity,ADAN,0.3095890411,
407936,12/1/2020,5/1/2024,Varsity,ADAN,3.416438356,
408690,9/1/2021,12/1/2021,Member,ADAN,0.2493150685,
424768,12/1/2020,5/1/2023,Varsity,ADAN,2.41369863,
425565,8/1/2020,5/1/2024,Varsity,ADAN,3.750684932,
442601,9/1/2021,5/1/2024,Varsity,ADAN,2.665753425,
443586,9/1/2021,5/1/2022,Varsity,ADAN,0.6630136986,
444733,9/1/2021,,Member,ADAN,-121.7534247,
445932,9/1/2021,,Varsity,ADAN,-121.7534247,
446899,9/1/2021,,Varsity,ADAN,-121.7534247,
449040,9/1/2021,5/1/2024,Member,ADAN,2.665753425,
456846,9/1/2022,,Varsity,ADAN,-122.7534247,
456998,9/1/2022,,Member,ADAN,-122.7534247,
459455,1/1/2023,,Member,ADAN,-123.0876712,
460662,9/1/2022,5/1/2023,Varsity,ADAN,0.6630136986,
461377,9/1/2022,,Varsity,ADAN,-122.7534247,
474168,8/1/2023,,Varsity,ADAN,-123.6684932,
475557,9/1/2024,,Member,ADAN,-124.7561644,
475913,8/1/2023,5/1/2024,Member,ADAN,0.7506849315,
475970,8/1/2023,,Varsity,ADAN,-123.6684932,
479352,8/1/2023,,Varsity,ADAN,-123.6684932,
481789,8/1/2023,,Member,ADAN,-123.6684932,
493520,9/1/2024,,Member,ADAN,-124.7561644,
493944,9/1/2024,,Member,ADAN,-124.7561644,
493961,9/1/2024,,Member,ADAN,-124.7561644,
